Date,Title,Content,Image URL
August 31, 2024,Made Team Webpage,Today we created our team website with a modern design and all the information about Robot Lions!,images/vex_picture.png
September 7, 2024,First VEX Meeting,Today is the first VEX meeting. We practiced programming on the robot that I built over the summer. We also started building the herobot and our parents started making the field kit.,
September 14, 2024,Robot Building Progress,We worked on the base of the robot. We also attached a frame. We split into two teams to do separate parts of the robot and the parents worked on the field kit.,
September 21, 2024,Herobot Progress and Gear Ratio Lesson,We made a lot of progress on the herobot today. We also had a quick lesson on gear ratio, we also learned about input and output gears.,
September 29, 2024,Robot Driving Practice,"We started driving the robot and made stacks of 2 and 3. Sometimes the robot did not work but we fixed the problems. I think we can improve: driving the robot, carrying the pins and doing better turns.",
October 5, 2024,Robot Improvements,"Today we worked on improving the robot. First we tried fixing the turning speed, but it kept staying on the same speed. We fixed the wires so the wheels would not get stuck in the wires. We hope that next meeting will be more successful.",
October 12, 2024,Robot Code Improvements,Today we worked on the code to make the robot less twitchy. We added a variable called deadband which makes it so that if it does not return to exact center it will not move at all. We also added 3 buttons: the first is E up which sets the drive_derate_speed to 1. The starting speed is 0.75. The second button is E down which sets the drive_derate_speed to 0.25. The third button is F up and F down drive_derate_speed back to 0.75. I think we made a lot of progress today.,
October 19, 2024,Claw Height Fix and Big Goal Progress,Today we fixed an error that was preventing us from getting the big goal. Here is how we made the claw go higher. We made the part holding the claw taller. And we made a decision to keep some ropes. Today in my opinion was very successful.,
October 26, 2024,Claw Rebuild and Support Improvements,"Today we took apart the claw of the thing that goes up and down. We made the thing that goes up and down bigger so we made a bigger support beam which took us 20 minutes to find. Then we added a bumper to align the pin in the claw. From October 26 to November 9, everybody took turns practicing with the robot at their house.",
November 11, 2024,Competition Preparation and Code Improvements,"Today, we built a bigger bumper and made a change to the code. And fixed an error that took a long time to align the pin. We added a control in the code which combined two controls to save time in putting a pin on top of another pin. P.S. on November 15 I fixed an error in the code.",
November 16, 2024,Final Competition Practice,"Today was a practice day, we got to test drive the robot, and test the autonomous program. The highest amount of points we got was 34 points. There was one problem, and that the robot kept drifting. The next time we ran it stop drifting. I am worried that the drifting will start again. We also practiced handing off the controller. Everybody can hand the controller over quickly. Overall, we are feeling very good about the competition next week.",
December 7, 2024,Robot Rebuild Project,Today we took apart the robot to make a better one. We only got the base of the robot done. We intend to make a robot with conveyer belts.,
December 14, 2024,Conveyor and Drive Train Progress,Today we fixed the conveyor and the drive train. We started a new code and also ran the drive train and it worked!,
January 4, 2025,Additions to the Robot,Today we finished the gate and cage. I think we could be more productive.,
January 11, 2026,Testing and Drive Train Updates,Today we got a pin in the zone! Here are the experiments to make the pin go in: Trial 1 failed because we forgot to upload the program. Trial 2 failed because it flipped. Trial 3 went inside! We also added a drive train which keeps doing wheelies.,
January 19, 2026,Pin Mechanism and Code Improvements,Today we worked on the mechanism that made the pin fall. We were trying to make the pin fall straight down but instead it kept going pointy end first. We also tried changing positions of the rubber band. We also updated the code by putting the speed settings and torque setting in one block called setup. Overall I think we had a productive day.,
February 1, 2026,Strategy Planning and Conveyor Fixes,Today we fixed the conveyor belt and figured out our strategy. We lifted the ramp and moved the rubber band. We calculated how many points we would get for a number of pins. We divided the number of pins by 2 and 3. We concluded that we need to use all the pins given. We were pretty productive.,
February 14, 2026,Second Competition,Today was our second compition we did not do very good but our progam work for skill we were in 7th place in conclution i think we could have done better,
February 22, 2026,Skills Practice and Field Setup,Today we spent a lot of time practicing the skills matchs our goal was to get 3 stacks and we also were setting up the field so we can kind of memorize it. in conclution i think we got some progress,